epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,17.0494,0.94193,1.24077,1.28625,0.93952,0.37374,0.57607,0.44483,1.70385,2.29598,1.50453,2.46022e-05,2.46022e-05,2.46022e-05
31,17.5782,0.92037,1.67515,1.31362,0.93381,0.37331,0.5761,0.44584,1.70569,2.36243,1.53062,2.50971e-05,2.50971e-05,2.50971e-05
32,18.0949,0.71764,1.50746,1.29497,0.93381,0.37331,0.5761,0.44584,1.70569,2.36243,1.53062,2.55685e-05,2.55685e-05,2.55685e-05
33,19.51,1.05289,1.6905,1.34112,0.92924,0.37323,0.57664,0.44495,1.7062,2.3956,1.54098,2.60163e-05,2.60163e-05,2.60163e-05
34,20.0511,1.1394,1.86938,1.49791,0.92924,0.37323,0.57664,0.44495,1.7062,2.3956,1.54098,2.64405e-05,2.64405e-05,2.64405e-05
35,20.5437,0.89126,1.11732,1.25545,0.93127,0.37357,0.49383,0.35546,1.70045,2.41338,1.53361,2.68412e-05,2.68412e-05,2.68412e-05
36,21.025,0.91195,1.47147,1.30755,0.93127,0.37357,0.49383,0.35546,1.70045,2.41338,1.53361,2.72183e-05,2.72183e-05,2.72183e-05
37,21.5165,0.99666,0.99391,1.3077,0.93189,0.37361,0.49278,0.36195,1.69933,2.39701,1.53489,2.75718e-05,2.75718e-05,2.75718e-05
38,22.0009,0.59487,0.90552,0.96534,0.93189,0.37361,0.49278,0.36195,1.69933,2.39701,1.53489,2.79018e-05,2.79018e-05,2.79018e-05
39,22.4934,0.71573,0.74219,1.17321,0.93365,0.3735,0.49294,0.36385,1.71883,2.41001,1.54528,2.82082e-05,2.82082e-05,2.82082e-05
40,22.9708,0.68703,0.85104,1.10909,0.93365,0.3735,0.49294,0.36385,1.71883,2.41001,1.54528,2.84911e-05,2.84911e-05,2.84911e-05
41,23.4812,0.90702,1.02516,1.1757,0.93283,0.37337,0.49449,0.34826,1.73303,2.39125,1.55339,2.87504e-05,2.87504e-05,2.87504e-05
42,23.9574,0.83126,1.05677,1.12864,0.93283,0.37337,0.49449,0.34826,1.73303,2.39125,1.55339,2.89861e-05,2.89861e-05,2.89861e-05
43,24.4571,1.00274,1.34064,1.5031,0.933,0.37349,0.4672,0.32527,1.70277,2.36789,1.51764,2.91983e-05,2.91983e-05,2.91983e-05
44,24.9594,0.68272,0.99078,1.12887,0.933,0.37349,0.4672,0.32527,1.70277,2.36789,1.51764,2.93869e-05,2.93869e-05,2.93869e-05
45,25.4526,0.67867,1.2417,1.10001,0.93501,0.37336,0.41056,0.31484,1.7083,2.35216,1.52187,2.9552e-05,2.9552e-05,2.9552e-05
46,25.9464,0.78662,0.99341,1.20737,0.93501,0.37336,0.41056,0.31484,1.7083,2.35216,1.52187,2.96935e-05,2.96935e-05,2.96935e-05
47,26.4631,0.81148,0.91092,1.24156,0.94294,0.3758,0.41313,0.30926,1.72406,2.3725,1.52255,2.98114e-05,2.98114e-05,2.98114e-05
48,26.9453,0.85705,1.1161,1.19927,0.94294,0.3758,0.41313,0.30926,1.72406,2.3725,1.52255,2.99058e-05,2.99058e-05,2.99058e-05
49,27.4466,0.9288,1.24917,1.31047,0.94971,0.3869,0.41828,0.31223,1.73219,2.35966,1.51563,2.99766e-05,2.99766e-05,2.99766e-05
50,27.9398,0.62885,0.83764,1.11384,0.94971,0.3869,0.41828,0.31223,1.73219,2.35966,1.51563,3.00238e-05,3.00238e-05,3.00238e-05
51,28.4439,0.79999,1.03538,1.22414,0.94876,0.38687,0.41872,0.30231,1.75219,2.38342,1.53006,3.00475e-05,3.00475e-05,3.00475e-05
52,28.9475,0.77828,1.43603,1.17307,0.94876,0.38687,0.41872,0.30231,1.75219,2.38342,1.53006,3.00476e-05,3.00476e-05,3.00476e-05
53,29.4217,0.59207,1.00158,1.03297,0.94876,0.38687,0.41872,0.30231,1.75219,2.38342,1.53006,3.00242e-05,3.00242e-05,3.00242e-05
54,29.9525,0.70577,0.96668,1.08322,0.94703,0.38718,0.42121,0.30336,1.74467,2.35754,1.52078,2.99772e-05,2.99772e-05,2.99772e-05
