epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,22.53,0.68703,0.85104,1.10909,0.5,0.38333,0.44,0.32208,1.71883,2.41001,1.54528,2.84911e-05,2.84911e-05,2.84911e-05
41,23.0239,0.90702,1.02516,1.1757,0.5,0.38333,0.44,0.3055,1.73303,2.39125,1.55339,2.87504e-05,2.87504e-05,2.87504e-05
42,23.5035,0.83126,1.05677,1.12864,0.5,0.38333,0.44,0.3055,1.73303,2.39125,1.55339,2.89861e-05,2.89861e-05,2.89861e-05
43,23.9938,1.00274,1.34064,1.5031,0.5,0.3,0.39917,0.29769,1.70277,2.36789,1.51764,2.91983e-05,2.91983e-05,2.91983e-05
44,24.4743,0.68272,0.99078,1.12887,0.5,0.3,0.39917,0.29769,1.70277,2.36789,1.51764,2.93869e-05,2.93869e-05,2.93869e-05
45,24.968,0.67867,1.2417,1.10001,0.5,0.38333,0.44,0.34488,1.7083,2.35216,1.52187,2.9552e-05,2.9552e-05,2.9552e-05
46,25.4428,0.78662,0.99341,1.20737,0.5,0.38333,0.44,0.34488,1.7083,2.35216,1.52187,2.96935e-05,2.96935e-05,2.96935e-05
47,25.9389,0.81148,0.91092,1.24156,0.5,0.38333,0.44,0.34278,1.72406,2.3725,1.52255,2.98114e-05,2.98114e-05,2.98114e-05
48,26.4279,0.85705,1.1161,1.19927,0.5,0.38333,0.44,0.34278,1.72406,2.3725,1.52255,2.99058e-05,2.99058e-05,2.99058e-05
49,26.9378,0.9288,1.24917,1.31047,0.5,0.38333,0.44,0.34278,1.73219,2.35966,1.51563,2.99766e-05,2.99766e-05,2.99766e-05
50,27.4205,0.62885,0.83764,1.11384,0.5,0.38333,0.44,0.34278,1.73219,2.35966,1.51563,3.00238e-05,3.00238e-05,3.00238e-05
51,27.9128,0.79999,1.03538,1.22414,0.5,0.38333,0.44,0.32829,1.75219,2.38342,1.53006,3.00475e-05,3.00475e-05,3.00475e-05
52,28.3931,0.77828,1.43603,1.17307,0.5,0.38333,0.44,0.32829,1.75219,2.38342,1.53006,3.00476e-05,3.00476e-05,3.00476e-05
